project_name,description,department,county,sub_county,ward,location_address,location_coordinates,project_year,start_date,expected_completion_date,contractor_name,contractor_contact,step_name,step_description
Migori County Health Center Construction,Construction of a modern health center to serve the local community with medical facilities and equipment,Public Health and Medical Services,Migori,Kuria West,Tagare,"Migori Town Center, near the main market","1.063049, 34.476693",2024,,,ABC Construction Ltd,2.55E+11,Project Planning & Approval,"Initial project planning, design review, and regulatory approval process"
Migori-Isebania Road Improvement,Upgrading of 15km stretch of Migori-Isebania road with tarmac surface and proper drainage,"Roads, Transport and Public Works",Migori,Awendo,Central Sakwa,"Migori-Isebania Highway, Migori Town","1.136110, 34.448927
-1.136110, 34.448927
",2024,,,Kens Construction Ltd,2.55E+11,Road Survey and Design,Conduct topographical survey and prepare detailed engineering designs
Rongo Bus stage Upgrade,Construction of modern market stalls with proper sanitation and drainage facilities,"Trade, Tourism, Industrialization and Cooperative Development",Migori,Rongo,East Kamagambo,Rongo Town Center,"0.758397, 34.603687",2024,,,Unity Builders,2.55E+11,Site Preparation,Clear site and prepare foundation for market construction
Isibania Health Center Extension,Addition of maternity wing and medical equipment procurement,Public Health and Medical Services,Migori,Nyatike,North Kadem,Nyatike Health Center,"1.241753, 34.513951",2024,,,Medical Contractors Kenya,2.55E+11,Architectural Planning,Design maternity wing and plan equipment installation
Lela Dispensary expansion,contruction of ward fercility,Public Health and Medical Services,Nairobi,Uriri,West Kanyamkago,Oyani SDA,"0.951454, 34.443863",2025,,,ABC Construction Ltd,727266454,Project Planning & Approval,"Initial project planning, design review, and regulatory approval process"
Lela market construction,kaminolewe market improvement to market standards,Trade and Commerce,Migori,Uriri,West Kanyamkago,Kaminolewe market,"0.950614, 34.447275",2026,,,ABC Construction Ltd,726473575,Project Planning & Approval,"Initial project planning, design review, and regulatory approval process"
Central Sakwa police post construction,Implementation of public service management and devolution in Central Sakwa ward under Awendo sub-county.,Public Service Management and Devolution,Migori,Awendo,Central Sakwa,"Central Sakwa Area, Awendo Sub-county","1.038,H1034.4194",2024,,,Blue Economy Partners,2.55E+11,Design and Costing,Drafting architectural drawings and estimating costs.
"South Sakwa Lands, Project","Implementation of lands, housing, physical planning and urban development in South Sakwa ward under Awendo sub-county.","Lands, Housing, Physical Planning and Urban Development",Migori,Awendo,South Sakwa,"South Sakwa Area, Awendo Sub-county","1.0968,34.448",2023,,,MajiWorks Kenya,2.55E+11,Land Survey,Carrying out land demarcation and topographical survey.
North Kamagambo Public Project,Implementation of public service management and devolution in North Kamagambo ward under Rongo sub-county.,Public Service Management and Devolution,Migori,Rongo,North Kamagambo,"North Kamagambo Area, Rongo Sub-county","1.0307,34.476",2025,,,EcoDev Works,2.55E+11,Feasibility Study,Conducting technical and social feasibility assessment.
Construction of Koyieko secondary school library,"Implementation of education, gender, youth, sports, culture and social services in South Kanyamkago ward under Uriri sub-county.","Education, Gender, Youth, Sports, Culture and Social Services",Migori,Uriri,South Kanyamkago,"South Kanyamkago Area, Uriri Sub-county","1.0737,34.4455",2023,,,Blue Economy Partners,2.55E+11,Site Identification,Identifying suitable location for project execution.
